<Clock>[ms],<Lat>[rad],<Lon>[rad],<Height>[m]
375122,0.60031561,1.230559278,516.17
376122,0.60031561,1.230559278,516.18
377122,0.60031561,1.230559283,516.2
378122,0.60031561,1.230559283,516.21
379122,0.60031561,1.230559287,516.22
380122,0.60031561,1.230559287,516.24
381122,0.60031561,1.230559292,516.24
382122,0.60031561,1.230559292,516.24
383122,0.60031561,1.230559292,516.25
386122,0.600315605,1.230559297,516.28
387122,0.600315605,1.230559297,516.29
388122,0.600315605,1.230559302,516.3
389122,0.600315605,1.230559302,516.31
390122,0.600315605,1.230559307,516.31
391122,0.600315605,1.230559307,516.32
392122,0.600315605,1.230559307,516.32
393122,0.600315605,1.230559307,516.31
394122,0.600315605,1.230559312,516.31
395122,0.600315605,1.230559312,516.3
396122,0.600315605,1.230559312,516.3
397122,0.600315605,1.230559312,516.3
398122,0.600315605,1.230559312,516.3
399122,0.600315605,1.230559312,516.3
400122,0.600315605,1.230559317,516.29
401122,0.600315605,1.230559317,516.3
402122,0.6003156,1.230559317,516.3
403122,0.6003156,1.230559317,516.29
404122,0.6003156,1.230559321,516.29
405122,0.6003156,1.230559321,516.28
406122,0.6003156,1.230559321,516.27
407122,0.6003156,1.230559321,516.28
408122,0.6003156,1.230559321,516.27
409122,0.6003156,1.230559326,516.27
410122,0.6003156,1.230559326,516.28
411122,0.6003156,1.230559326,516.28
412122,0.6003156,1.230559326,516.27
413122,0.6003156,1.230559326,516.27
414122,0.6003156,1.230559326,516.27
415122,0.6003156,1.230559331,516.27
416122,0.600315596,1.230559331,516.28
417122,0.600315596,1.230559331,516.27
418122,0.600315596,1.230559331,516.27
419122,0.600315596,1.230559331,516.25
420122,0.600315596,1.230559331,516.25
421122,0.600315596,1.230559331,516.24
422122,0.600315596,1.230559331,516.24
423122,0.600315596,1.230559331,516.23
424122,0.600315591,1.230559331,516.22
425122,0.600315591,1.230559331,516.23
426122,0.600315591,1.230559331,516.22
427122,0.600315591,1.230559331,516.21
428122,0.600315591,1.230559331,516.21
429122,0.600315591,1.230559331,516.2
430122,0.600315591,1.230559331,516.19
431122,0.600315591,1.230559331,516.19
432122,0.600315591,1.230559336,516.19
433122,0.600315586,1.230559336,516.19
434122,0.600315586,1.230559331,516.19
435122,0.600315586,1.230559331,516.17
436122,0.600315586,1.230559336,516.15
437122,0.600315586,1.230559336,516.15
438122,0.600315586,1.230559336,516.13
439122,0.600315586,1.230559336,516.13
440122,0.600315586,1.230559336,516.12
441122,0.600315586,1.230559336,516.12
442122,0.600315581,1.230559336,516.1
443122,0.600315581,1.230559336,516.1
444122,0.600315581,1.230559331,516.08
445122,0.600315581,1.230559331,516.07
446122,0.600315581,1.230559336,516.07
447122,0.600315581,1.230559336,516.06
448122,0.600315581,1.230559331,516.06
449122,0.600315581,1.230559331,516.05
450122,0.600315581,1.230559331,516.05
451122,0.600315576,1.230559331,516.05
452122,0.600315576,1.230559336,516.04
453122,0.600315576,1.230559336,516.04
454122,0.600315576,1.230559336,516.02
455122,0.600315576,1.230559336,516.02
456122,0.600315576,1.230559336,516.01
457122,0.600315576,1.230559336,516
458122,0.600315576,1.230559336,515.99
459122,0.600315576,1.230559336,515.97
460122,0.600315576,1.230559336,515.97
461122,0.600315576,1.230559336,515.94
462122,0.600315571,1.230559336,515.94
463122,0.600315576,1.230559336,515.95
464122,0.600315571,1.230559336,515.94
465122,0.600315571,1.230559336,515.93
466122,0.600315571,1.230559336,515.92
467122,0.600315571,1.230559336,515.93
468122,0.600315571,1.230559341,515.93
469122,0.600315571,1.230559341,515.93
470122,0.600315571,1.230559341,515.92
471122,0.600315571,1.230559336,515.92
472122,0.600315566,1.230559341,515.91
473122,0.600315566,1.230559341,515.91
474122,0.600315566,1.230559341,515.91
475122,0.600315566,1.230559336,515.9
476122,0.600315566,1.230559341,515.9
477122,0.600315566,1.230559341,515.89
478122,0.600315566,1.230559341,515.88
479123,0.600315566,1.230559341,515.88
480122,0.600315562,1.230559341,515.88
481122,0.600315562,1.230559341,515.87
482122,0.600315562,1.230559341,515.85
483122,0.600315562,1.230559346,515.86
484122,0.600315562,1.230559346,515.85
485122,0.600315562,1.230559346,515.85
486122,0.600315562,1.230559346,515.84
487122,0.600315562,1.230559346,515.86
488122,0.600315562,1.230559346,515.85
489122,0.600315557,1.230559346,515.84
490122,0.600315562,1.230559346,515.83
491122,0.600315557,1.230559346,515.82
492122,0.600315557,1.230559351,515.83
493122,0.600315557,1.230559351,515.83
494122,0.600315557,1.230559351,515.84
495122,0.600315557,1.230559351,515.84
496122,0.600315557,1.230559351,515.83
497122,0.600315557,1.230559351,515.83
498122,0.600315557,1.230559351,515.84
499122,0.600315557,1.230559351,515.83
500122,0.600315557,1.230559351,515.84
501122,0.600315557,1.230559355,515.83
502122,0.600315557,1.230559355,515.82
503122,0.600315552,1.230559355,515.82
504122,0.600315552,1.230559355,515.84
505122,0.600315552,1.230559355,515.83
506122,0.600315552,1.230559355,515.83
507122,0.600315552,1.23055936,515.82
508122,0.600315552,1.23055936,515.82
509122,0.600315552,1.23055936,515.82
510122,0.600315547,1.23055936,515.83
511122,0.600315547,1.23055936,515.83
512122,0.600315547,1.23055936,515.83
513122,0.600315547,1.23055936,515.83
514122,0.600315547,1.230559365,515.84
515122,0.600315547,1.230559365,515.84
516122,0.600315547,1.230559365,515.85
517122,0.600315547,1.230559365,515.84
518122,0.600315547,1.23055937,515.84
519122,0.600315547,1.23055937,515.86
520122,0.600315547,1.23055937,515.86
521122,0.600315542,1.23055937,515.85
522122,0.600315542,1.23055937,515.86
523122,0.600315542,1.23055937,515.86
524122,0.600315542,1.23055937,515.86
525122,0.600315542,1.23055937,515.86
526122,0.600315542,1.23055937,515.85
527122,0.600315537,1.230559375,515.86
528122,0.600315537,1.230559375,515.87
529122,0.600315542,1.230559375,515.87
530122,0.600315542,1.230559375,515.87
531122,0.600315542,1.230559375,515.86
532122,0.600315542,1.230559375,515.86
533122,0.600315537,1.230559375,515.85
534122,0.600315537,1.230559375,515.86
535122,0.600315537,1.230559375,515.85
536122,0.600315537,1.230559375,515.85
537122,0.600315542,1.230559375,515.85
538122,0.600315542,1.230559375,515.85
539122,0.600315542,1.230559375,515.86
540122,0.600315537,1.230559375,515.85
541122,0.600315537,1.230559375,515.86
542122,0.600315537,1.230559375,515.85
543122,0.600315537,1.230559375,515.84
544122,0.600315537,1.230559375,515.85
545122,0.600315537,1.23055938,515.86
546122,0.600315537,1.230559375,515.86
547122,0.600315537,1.230559375,515.85
548122,0.600315537,1.230559375,515.85
549122,0.600315537,1.230559375,515.85
550122,0.600315537,1.230559375,515.85
551122,0.600315533,1.230559375,515.85
552122,0.600315533,1.23055938,515.86
553122,0.600315533,1.23055938,515.87
554122,0.600315533,1.23055938,515.87
555122,0.600315533,1.230559375,515.86
556122,0.600315533,1.230559375,515.86
557122,0.600315533,1.230559375,515.86
558122,0.600315533,1.23055938,515.85
559122,0.600315533,1.23055938,515.85
560122,0.600315533,1.23055938,515.85
561122,0.600315533,1.23055938,515.85
562122,0.600315533,1.23055938,515.84
563122,0.600315533,1.23055938,515.84
564122,0.600315533,1.23055938,515.86
565122,0.600315533,1.23055938,515.86
566122,0.600315537,1.230559375,515.9
567122,0.600315537,1.230559375,515.97
568122,0.600315542,1.23055937,516.05
569122,0.600315542,1.23055936,516.09
570122,0.600315547,1.230559351,516.11
571122,0.600315542,1.230559331,516.09
572122,0.600315537,1.230559317,516.07
573142,0.600315523,1.23055938,515.86
574142,0.600315523,1.23055938,515.85
575142,0.600315528,1.230559375,515.85
576142,0.600315528,1.23055938,515.85
577142,0.600315523,1.23055938,515.84
578142,0.600315523,1.230559375,515.82
579142,0.600315523,1.230559375,515.82
580142,0.600315523,1.230559375,515.82
581142,0.600315523,1.230559375,515.83
582142,0.600315523,1.230559375,515.83
583142,0.600315523,1.230559375,515.84
584142,0.600315523,1.230559375,515.86
585142,0.600315523,1.230559375,515.87
586142,0.600315523,1.230559375,515.87
587142,0.600315523,1.230559375,515.87
588142,0.600315523,1.230559375,515.87
589142,0.600315523,1.230559375,515.88
590142,0.600315523,1.230559375,515.88
591142,0.600315523,1.230559375,515.88
592142,0.600315523,1.230559375,515.88
593142,0.600315523,1.230559375,515.88
594142,0.600315523,1.230559375,515.89
595142,0.600315528,1.230559375,515.9
596142,0.600315523,1.230559375,515.9
597142,0.600315523,1.230559375,515.9
598142,0.600315523,1.230559375,515.9
599142,0.600315523,1.230559375,515.89
600142,0.600315523,1.230559375,515.9
601142,0.600315523,1.230559375,515.91
602142,0.600315523,1.230559375,515.91
603142,0.600315523,1.230559375,515.91
604142,0.600315523,1.230559375,515.91
605142,0.600315523,1.230559375,515.91
606142,0.600315523,1.230559375,515.92
607142,0.600315523,1.230559375,515.92
608142,0.600315523,1.230559375,515.93
609142,0.600315523,1.230559375,515.93
610142,0.600315523,1.230559375,515.93
611142,0.600315523,1.230559375,515.94
612142,0.600315528,1.230559375,515.92
613142,0.600315528,1.230559375,515.95
614142,0.600315528,1.230559375,515.92
615142,0.600315528,1.230559375,515.93
616142,0.600315528,1.23055937,515.94
617142,0.600315528,1.23055937,515.95
618142,0.600315523,1.23055937,515.95
619142,0.600315528,1.23055937,515.97
620142,0.600315528,1.23055937,515.98
621142,0.600315528,1.230559375,515.97
622142,0.600315528,1.230559375,515.98
623142,0.600315528,1.23055937,515.98
624142,0.600315528,1.230559375,515.96
625142,0.600315528,1.230559375,515.96
626142,0.600315528,1.230559375,515.98
627142,0.600315528,1.23055937,515.98
628142,0.600315528,1.23055937,515.98
629142,0.600315528,1.23055937,515.98
630142,0.600315523,1.23055937,516
631142,0.600315528,1.23055937,516
632142,0.600315528,1.23055937,515.99
633142,0.600315528,1.23055937,515.99
634142,0.600315528,1.23055937,515.99
635142,0.600315528,1.23055937,516.01
636142,0.600315528,1.23055937,516
637142,0.600315528,1.23055937,516.01
638142,0.600315528,1.230559365,516.01
639142,0.600315528,1.230559365,516.01
640142,0.600315533,1.230559365,516.01
641142,0.600315533,1.230559365,516.01
642142,0.600315533,1.230559365,516.01
643142,0.600315533,1.230559365,516.01
644142,0.600315533,1.230559365,516
645142,0.600315533,1.230559365,516
646142,0.600315533,1.230559365,515.99
647142,0.600315537,1.230559375,516
648142,0.600315542,1.230559394,516.01
649142,0.600315528,1.230559423,516.02
650142,0.600315494,1.230559462,516.05
651142,0.600315445,1.23055953,516.06
652142,0.600315387,1.230559641,516.06
653142,0.600315339,1.230559767,516.13
654142,0.600315285,1.230559889,516.11
655142,0.600315247,1.230559981,516.07
656142,0.600315222,1.230560044,516.07
657142,0.600315208,1.230560083,516.08
658142,0.600315193,1.230560121,516.13
659142,0.600315169,1.230560194,516.11
660142,0.60031513,1.23056031,516.14
661142,0.600315101,1.230560427,516.16
662142,0.600315077,1.230560524,516.22
663142,0.600315062,1.230560577,516.21
664142,0.600315043,1.230560635,516.2
665142,0.600314999,1.230560732,516.19
666142,0.600314946,1.230560815,516.2
667142,0.600314878,1.230560883,516.19
668142,0.600314796,1.230560955,516.2
669142,0.600314699,1.230561062,516.06
670142,0.600314631,1.230561169,516.13
671142,0.600314587,1.230561251,516.34
672142,0.600314553,1.230561324,516.58
673142,0.600314548,1.230561396,516.55
674142,0.600314505,1.230561503,516.7
675142,0.600314417,1.23056161,516.76
676142,0.600314316,1.230561731,516.76
677142,0.60031419,1.230561857,516.68
678142,0.60031403,1.230561998,516.93
679142,0.600313884,1.230562109,516.45
680142,0.600313758,1.230562216,516.37
681142,0.600313666,1.230562293,515.88
682142,0.600313559,1.230562385,515.61
683142,0.600313453,1.230562512,515.4
684142,0.600313322,1.230562686,515.47
685142,0.600313201,1.230562812,515.57
686142,0.600313026,1.230563035,515.86
687142,0.600312871,1.230563219,516.07
688142,0.600312696,1.230563374,515.69
689142,0.600312532,1.230563462,515.43
690142,0.600312372,1.230563568,515.47
691142,0.60031226,1.230563631,515.44
692142,0.600312139,1.230563699,515.21
693142,0.600311921,1.230563748,515.18
694142,0.600311698,1.230563719,515.06
695142,0.600311455,1.230563661,515
696142,0.600311218,1.230563578,514.96
697142,0.60031099,1.230563471,514.92
698142,0.600310772,1.230563365,514.89
699142,0.600310578,1.230563268,514.87
700142,0.600310389,1.230563185,514.93
701142,0.600310209,1.230563098,514.98
702142,0.600310035,1.230562991,515.06
703142,0.600309851,1.230562841,515.12
704142,0.600309671,1.230562667,515.13
705142,0.600309511,1.230562473,515.18
706142,0.600309356,1.230562259,515.19
707142,0.60030922,1.230562032,515.21
708142,0.600309099,1.230561794,515.25
709142,0.600309007,1.230561542,515.28
710142,0.600308949,1.230561275,515.27
711142,0.60030891,1.230560989,515.27
712142,0.600308886,1.230560698,515.26
713142,0.600308881,1.230560412,515.24
714142,0.60030891,1.230560131,515.25
715142,0.600308968,1.230559855,515.27
716142,0.600309051,1.230559578,515.3
717142,0.600309162,1.230559312,515.31
718142,0.600309283,1.23055906,515.33
719142,0.600309414,1.230558822,515.34
720142,0.600309569,1.230558667,515.36
721142,0.600309768,1.230558599,515.35
722142,0.600309977,1.230558585,515.38
723142,0.600310175,1.23055857,515.39
724142,0.600310335,1.230558536,515.38
725142,0.600310432,1.230558483,515.4
726142,0.600310471,1.230558434,515.42
727142,0.600310461,1.230558381,515.4
728142,0.600310427,1.230558274,515.4
729142,0.60031036,1.230558119,515.36
730142,0.600310301,1.230557901,515.34
731142,0.600310292,1.230557673,515.33
732142,0.600310335,1.230557426,515.34
733142,0.600310413,1.230557164,515.35
734142,0.600310515,1.230556912,515.36
735142,0.600310641,1.230556665,515.31
736142,0.600310781,1.230556427,515.32
737142,0.600310937,1.230556204,515.35
738142,0.600311092,1.230555996,515.34
739142,0.600311242,1.230555792,515.35
740142,0.600311397,1.230555593,515.36
741142,0.600311552,1.230555375,515.36
742142,0.600311703,1.230555142,515.36
743142,0.600311838,1.230554895,515.37
744142,0.600311989,1.230554648,515.32
745142,0.600312149,1.230554401,515.31
746142,0.600312304,1.230554173,515.31
747142,0.600312483,1.230553921,515.33
748142,0.600312667,1.23055363,515.31
749142,0.600312852,1.230553315,515.3
750142,0.600313016,1.230553029,515.31
751142,0.600313104,1.230552733,515.31
752142,0.600313138,1.230552452,515.31
753142,0.600313157,1.2305522,515.37
754142,0.600313167,1.230551981,515.43
755142,0.60031322,1.230551797,515.45
756142,0.600313288,1.230551618,515.49
757142,0.600313298,1.230551487,515.49
758142,0.600313259,1.230551366,515.48
759142,0.600313186,1.230551235,515.45
760142,0.600313108,1.230551094,515.5
761142,0.600313055,1.230550997,515.53
762142,0.600312997,1.230550886,515.54
763142,0.600312924,1.230550745,515.58
764142,0.600312856,1.230550609,515.58
765142,0.600312803,1.230550478,515.59
766142,0.600312803,1.230550314,515.62
767142,0.600312822,1.230550163,515.59
768142,0.600312861,1.230550047,515.54
769142,0.60031291,1.230549974,515.5
770142,0.600312915,1.230549974,515.52
771142,0.600312934,1.230549955,515.52
772142,0.600313016,1.230549805,515.51
773142,0.600313108,1.230549664,515.54
774142,0.600313181,1.230549528,515.56
775142,0.600313225,1.230549422,515.55
776142,0.600313215,1.230549441,515.58
777142,0.600313191,1.230549499,515.58
